,Problem,Provider,OperationKind,Operation,Disposition,Status,conv_kind,n,h,w,c,k,r,s,p,q,pad_h,pad_w,stride_h,stride_w,dilation_h,dilation_w,Activation,Filter,Output,conv_mode,iterator_algorithm,alpha,beta,split_k_mode,split_k_slices,eq_gemm_provider,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,29,29,128,128,3,3,27,27,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,4322304,215177472,49,0.169472,23.7529,1269.69
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,230,230,3,64,7,7,112,112,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,10624768,237633536,22,0.195902,50.5105,1213.02
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,230,230,3,64,7,7,112,112,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,10624768,237633536,22,0.107121,92.3733,2218.37
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,230,230,3,64,7,7,112,112,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,10624768,237633536,22,0.153057,64.6496,1552.58
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,230,230,3,64,7,7,112,112,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,10624768,237633536,22,0.112691,87.8071,2108.71
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,230,230,3,64,7,7,112,112,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,10624768,237633536,22,0.129618,76.3404,1833.34
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,230,230,3,64,7,7,112,112,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,10624768,237633536,22,0.164915,60.0011,1440.94
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,16,16,256,512,3,3,7,7,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,5270528,115655680,21,0.539863,9.09223,214.232
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,16,16,256,512,3,3,7,7,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,5270528,115655680,21,0.320317,15.3241,361.066
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,16,16,256,512,3,3,7,7,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,5270528,115655680,21,0.304824,16.1029,379.418
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,16,16,256,512,3,3,7,7,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,5270528,115655680,21,0.283156,17.3352,408.451
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,16,16,256,512,3,3,7,7,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,5270528,115655680,21,0.382863,12.8207,302.081
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,16,16,256,512,3,3,7,7,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,5270528,115655680,21,0.297667,16.4901,388.541
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,9,9,512,512,3,3,7,7,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,10440704,231261184,22,1.05139,9.24837,219.957
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,9,9,512,512,3,3,7,7,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,10440704,231261184,22,0.583834,16.6549,396.108
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,9,9,512,512,3,3,7,7,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,10440704,231261184,22,0.553943,17.5535,417.482
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,9,9,512,512,3,3,7,7,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,10440704,231261184,22,0.549622,17.6916,420.764
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,9,9,512,512,3,3,7,7,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,10440704,231261184,22,0.745124,13.0497,310.366
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,9,9,512,512,3,3,7,7,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,10440704,231261184,22,0.590479,16.4674,391.65
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,64,3,3,56,56,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,8175616,231612416,28,0.140943,54.0228,1643.31
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,64,3,3,56,56,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,8175616,231612416,28,0.086487,88.0379,2678.0
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,64,3,3,56,56,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,8175616,231612416,28,0.0817562,93.1323,2832.97
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,64,3,3,56,56,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,8175616,231612416,28,0.0834461,91.2462,2775.59
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,64,3,3,56,56,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,8175616,231612416,28,0.103885,73.294,2229.51
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,64,3,3,56,56,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,8175616,231612416,28,0.148316,51.3372,1561.61
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,128,3,3,28,28,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,2502656,115806208,46,0.14123,16.5034,819.983
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,128,3,3,28,28,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,2502656,115806208,46,0.0866918,26.8858,1335.84
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,128,3,3,28,28,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,2502656,115806208,46,0.0817869,28.4982,1415.95
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,128,3,3,28,28,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,2502656,115806208,46,0.0834458,27.9317,1387.8
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,128,3,3,28,28,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,2502656,115806208,46,0.10412,22.3854,1112.23
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,128,3,3,28,28,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,2502656,115806208,46,0.0886275,26.2986,1306.66
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,30,30,128,128,3,3,28,28,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,4603904,231411712,50,0.27434,15.6292,843.522
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,30,30,128,128,3,3,28,28,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,4603904,231411712,50,0.164465,26.0707,1407.06
