,Problem,Provider,OperationKind,Operation,Disposition,Status,conv_kind,n,h,w,c,k,r,s,p,q,pad_h,pad_w,stride_h,stride_w,dilation_h,dilation_w,Activation,Filter,Output,conv_mode,iterator_algorithm,alpha,beta,split_k_mode,split_k_slices,eq_gemm_provider,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,64,3,3,56,56,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,8175616,231612416,28,0.142549,53.4142,1624.79
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,128,3,3,28,28,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,2502656,115806208,46,0.135374,17.2174,855.455
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,128,3,3,28,28,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,2502656,115806208,46,0.0810922,28.7424,1428.08
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,128,3,3,28,28,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,2502656,115806208,46,0.0768662,30.3225,1506.59
3,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x64_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,128,3,3,28,28,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,64,8,2,2,1,1,1,1,1,50,1024,2502656,115806208,46,0.0800512,29.1161,1446.65
4,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x32_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,128,3,3,28,28,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,32,8,2,2,1,1,1,1,1,50,1024,2502656,115806208,46,0.0952992,24.4575,1215.19
5,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_32x128_8x2_nhwc_align1,passed,success,fprop,1,58,58,64,128,3,3,28,28,0,0,2,2,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,32,128,8,2,1,2,1,1,1,1,50,1024,2502656,115806208,46,0.0890096,26.1857,1301.05
0,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x128_8x2_nhwc_align1,passed,success,fprop,1,30,30,128,128,3,3,28,28,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,128,8,2,4,2,1,1,1,1,50,1024,4603904,231411712,50,0.263372,16.2801,878.648
1,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_128x64_8x2_nhwc_align1,passed,success,fprop,1,30,30,128,128,3,3,28,28,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,128,64,8,2,2,2,1,1,1,1,50,1024,4603904,231411712,50,0.155772,27.5256,1485.58
2,1,CUTLASS,conv2d,cutlass_simt_sfprop_optimized_64x128_8x2_nhwc_align1,passed,success,fprop,1,30,30,128,128,3,3,28,28,0,0,1,1,1,1,f32:nhwc,f32:nhwc,f32:nhwc,cross,optimized,1,0,serial,1,none,simt,f32,64,128,8,2,2,2,1,1,1,1,50,1024,4603904,231411712,50,0.147062,29.1558,1573.56
